State,Source,Type,Category,Withdrawal_MGD,Population
Utah,Surface,Fresh,Total,3110.0,2760000
Vermont,Surface,Fresh,Total,389.0,626000
Virginia,Surface,Fresh,Total,4140.0,8000000
Washington,Surface,Fresh,Total,3320.0,6720000
West Virginia,Surface,Fresh,Total,3410.0,1850000
Wisconsin,Surface,Fresh,Total,5400.0,5690000
Wyoming,Surface,Fresh,Total,4080.0,564000
Puerto Rico,Surface,Fresh,Total,611.0,3730000
U.S. Virgin Islands,Surface,Fresh,Total,2.85,106000
Alabama,Groundwater,Fresh,Total,494.0,4780000
Alaska,Groundwater,Fresh,Total,478.0,710000
Arizona,Groundwater,Fresh,Total,2550.0,6390000
Arkansas,Groundwater,Fresh,Total,7780.0,2920000
California,Groundwater,Fresh,Total,12300.0,37300000
Colorado,Groundwater,Fresh,Total,1540.0,5030000
Connecticut,Groundwater,Fresh,Total,216.0,3570000
Delaware,Groundwater,Fresh,Total,156.0,898000
District Of Columbia,Groundwater,Fresh,Total,0.05,602000
Florida,Groundwater,Fresh,Total,3970.0,18800000
Georgia,Groundwater,Fresh,Total,1230.0,9690000
Hawaii,Groundwater,Fresh,Total,423.0,1360000
Idaho,Groundwater,Fresh,Total,4250.0,1570000
Illinois,Groundwater,Fresh,Total,853.0,12800000
Indiana,Groundwater,Fresh,Total,720.0,6480000
Iowa,Groundwater,Fresh,Total,650.0,3050000
Kansas,Groundwater,Fresh,Total,3200.0,2850000
Kentucky,Groundwater,Fresh,Total,199.0,4340000
Louisiana,Groundwater,Fresh,Total,1570.0,4530000
Maine,Groundwater,Fresh,Total,99.4,1330000
Maryland,Groundwater,Fresh,Total,260.0,5770000
Massachusetts,Groundwater,Fresh,Total,361.0,6550000
Michigan,Groundwater,Fresh,Total,693.0,9880000
Minnesota,Groundwater,Fresh,Total,736.0,5300000
Mississippi,Groundwater,Fresh,Total,2610.0,2970000
Missouri,Groundwater,Fresh,Total,1810.0,5990000
Montana,Groundwater,Fresh,Total,268.0,989000
Nebraska,Groundwater,Fresh,Total,4710.0,1830000
Nevada,Groundwater,Fresh,Total,1190.0,2700000
New Hampshire,Groundwater,Fresh,Total,89.7,1320000
New Jersey,Groundwater,Fresh,Total,612.0,8790000
New Mexico,Groundwater,Fresh,Total,1570.0,2060000
New York,Groundwater,Fresh,Total,704.0,19400000
North Carolina,Groundwater,Fresh,Total,694.0,9540000
North Dakota,Groundwater,Fresh,Total,139.0,673000
Ohio,Groundwater,Fresh,Total,929.0,11500000
Oklahoma,Groundwater,Fresh,Total,635.0,3750000
Oregon,Groundwater,Fresh,Total,2130.0,3830000
Pennsylvania,Groundwater,Fresh,Total,657.0,12700000
Rhode Island,Groundwater,Fresh,Total,36.5,1050000
South Carolina,Groundwater,Fresh,Total,339.0,4630000
South Dakota,Groundwater,Fresh,Total,339.0,814000
Tennessee,Groundwater,Fresh,Total,470.0,6350000
Texas,Groundwater,Fresh,Total,6830.0,25100000
Utah,Groundwater,Fresh,Total,1030.0,2760000
Vermont,Groundwater,Fresh,Total,41.6,626000
Virginia,Groundwater,Fresh,Total,299.0,8000000
Washington,Groundwater,Fresh,Total,1600.0,6720000
West Virginia,Groundwater,Fresh,Total,121.0,1850000
Wisconsin,Groundwater,Fresh,Total,754.0,5690000
Wyoming,Groundwater,Fresh,Total,550.0,564000
Puerto Rico,Groundwater,Fresh,Total,125.0,3730000
U.S. Virgin Islands,Groundwater,Fresh,Total,1.14,106000
Alabama,Surface,Saline,Total,0.0,4780000
Alaska,Surface,Saline,Total,80.7,710000
Arizona,Surface,Saline,Total,0.0,6390000
Arkansas,Surface,Saline,Total,0.0,2920000
California,Surface,Saline,Total,6490.0,37300000
Colorado,Surface,Saline,Total,0.0,5030000
Connecticut,Surface,Saline,Total,2490.0,3570000
Delaware,Surface,Saline,Total,417.0,898000
District Of Columbia,Surface,Saline,Total,0.0,602000
Florida,Surface,Saline,Total,8580.0,18800000
Georgia,Surface,Saline,Total,283.0,9690000
Hawaii,Surface,Saline,Total,552.0,1360000
Idaho,Surface,Saline,Total,0.0,1570000
Illinois,Surface,Saline,Total,0.0,12800000
Indiana,Surface,Saline,Total,0.0,6480000
Iowa,Surface,Saline,Total,0.0,3050000
Kansas,Surface,Saline,Total,0.0,2850000
Kentucky,Surface,Saline,Total,0.0,4340000
Louisiana,Surface,Saline,Total,1.68,4530000
Maine,Surface,Saline,Total,40.8,1330000
Maryland,Surface,Saline,Total,5910.0,5770000
Massachusetts,Surface,Saline,Total,1930.0,6550000
Michigan,Surface,Saline,Total,0.0,9880000
Minnesota,Surface,Saline,Total,0.0,5300000
Mississippi,Surface,Saline,Total,62.4,2970000
Missouri,Surface,Saline,Total,0.0,5990000
Montana,Surface,Saline,Total,0.0,989000
Nebraska,Surface,Saline,Total,0.0,1830000
Nevada,Surface,Saline,Total,0.0,2700000
New Hampshire,Surface,Saline,Total,848.0,1320000
New Jersey,Surface,Saline,Total,3740.0,8790000
New Mexico,Surface,Saline,Total,0.0,2060000
New York,Surface,Saline,Total,4850.0,19400000
North Carolina,Surface,Saline,Total,1360.0,9540000
North Dakota,Surface,Saline,Total,0.0,673000
Ohio,Surface,Saline,Total,0.0,11500000
Oklahoma,Surface,Saline,Total,0.0,3750000
Oregon,Surface,Saline,Total,0.0,3830000
Pennsylvania,Surface,Saline,Total,0.0,12700000
Rhode Island,Surface,Saline,Total,241.0,1050000
South Carolina,Surface,Saline,Total,0.0,4630000
South Dakota,Surface,Saline,Total,0.0,814000
Tennessee,Surface,Saline,Total,0.0,6350000
Texas,Surface,Saline,Total,1280.0,25100000
Utah,Surface,Saline,Total,238.0,2760000
Vermont,Surface,Saline,Total,0.0,626000
Virginia,Surface,Saline,Total,3200.0,8000000
Washington,Surface,Saline,Total,33.1,6720000
West Virginia,Surface,Saline,Total,0.0,1850000
Wisconsin,Surface,Saline,Total,0.0,5690000
Wyoming,Surface,Saline,Total,0.0,564000
Puerto Rico,Surface,Saline,Total,2270.0,3730000
U.S. Virgin Islands,Surface,Saline,Total,124.0,106000
Alabama,Groundwater,Saline,Total,0.0,4780000
Alaska,Groundwater,Saline,Total,144.0,710000
Arizona,Groundwater,Saline,Total,0.0,6390000
Arkansas,Groundwater,Saline,Total,5.05,2920000
California,Groundwater,Saline,Total,369.0,37300000
Colorado,Groundwater,Saline,Total,19.4,5030000
Connecticut,Groundwater,Saline,Total,0.0,3570000
Delaware,Groundwater,Saline,Total,0.0,898000
District Of Columbia,Groundwater,Saline,Total,0.0,602000
Florida,Groundwater,Saline,Total,154.0,18800000
Georgia,Groundwater,Saline,Total,0.0,9690000
Hawaii,Groundwater,Saline,Total,50.8,1360000
Idaho,Groundwater,Saline,Total,0.0,1570000
Illinois,Groundwater,Saline,Total,25.5,12800000
Indiana,Groundwater,Saline,Total,0.0,6480000
Iowa,Groundwater,Saline,Total,0.0,3050000
Kansas,Groundwater,Saline,Total,0.0,2850000
Kentucky,Groundwater,Saline,Total,0.0,4340000
Louisiana,Groundwater,Saline,Total,0.0,4530000
Maine,Groundwater,Saline,Total,0.0,1330000
Maryland,Groundwater,Saline,Total,0.0,5770000
Massachusetts,Groundwater,Saline,Total,0.0,6550000
Michigan,Groundwater,Saline,Total,0.57,9880000
Minnesota,Groundwater,Saline,Total,0.0,5300000
Mississippi,Groundwater,Saline,Total,19.6,2970000
Missouri,Groundwater,Saline,Total,0.0,5990000
Montana,Groundwater,Saline,Total,18.6,989000
Nebraska,Groundwater,Saline,Total,0.13,1830000
Nevada,Groundwater,Saline,Total,11.9,2700000
New Hampshire,Groundwater,Saline,Total,0.0,1320000
New Jersey,Groundwater,Saline,Total,0.0,8790000
New Mexico,Groundwater,Saline,Total,0.0,2060000
New York,Groundwater,Saline,Total,0.0,19400000
North Carolina,Groundwater,Saline,Total,0.0,9540000
North Dakota,Groundwater,Saline,Total,13.6,673000
Ohio,Groundwater,Saline,Total,0.0,11500000
Oklahoma,Groundwater,Saline,Total,1400.0,3750000
Oregon,Groundwater,Saline,Total,0.0,3830000
Pennsylvania,Groundwater,Saline,Total,0.0,12700000
Rhode Island,Groundwater,Saline,Total,0.0,1050000
South Carolina,Groundwater,Saline,Total,0.0,4630000
South Dakota,Groundwater,Saline,Total,0.0,814000
Tennessee,Groundwater,Saline,Total,0.0,6350000
Texas,Groundwater,Saline,Total,884.0,25100000
Utah,Groundwater,Saline,Total,92.6,2760000
Vermont,Groundwater,Saline,Total,0.0,626000
Virginia,Groundwater,Saline,Total,9.97,8000000
Washington,Groundwater,Saline,Total,0.0,6720000
West Virginia,Groundwater,Saline,Total,4.82,1850000
Wisconsin,Groundwater,Saline,Total,0.0,5690000
Wyoming,Groundwater,Saline,Total,67.1,564000
Puerto Rico,Groundwater,Saline,Total,0.32,3730000
U.S. Virgin Islands,Groundwater,Saline,Total,0.0,106000
Alabama,Surface,Fresh,Public Supply,551.0,4780000
Alaska,Surface,Fresh,Public Supply,51.8,710000
Arizona,Surface,Fresh,Public Supply,628.0,6390000
Arkansas,Surface,Fresh,Public Supply,295.0,2920000
California,Surface,Fresh,Public Supply,3470.0,37300000
Colorado,Surface,Fresh,Public Supply,717.0,5030000
Connecticut,Surface,Fresh,Public Supply,292.0,3570000
Delaware,Surface,Fresh,Public Supply,33.3,898000
District Of Columbia,Surface,Fresh,Public Supply,0.0,602000
Florida,Surface,Fresh,Public Supply,256.0,18800000
Georgia,Surface,Fresh,Public Supply,873.0,9690000
Hawaii,Surface,Fresh,Public Supply,15.8,1360000
Idaho,Surface,Fresh,Public Supply,27.1,1570000
Illinois,Surface,Fresh,Public Supply,1140.0,12800000
Indiana,Surface,Fresh,Public Supply,304.0,6480000
Iowa,Surface,Fresh,Public Supply,84.3,3050000
Kansas,Surface,Fresh,Public Supply,231.0,2850000
Kentucky,Surface,Fresh,Public Supply,501.0,4340000
Louisiana,Surface,Fresh,Public Supply,368.0,4530000
Maine,Surface,Fresh,Public Supply,63.6,1330000
Maryland,Surface,Fresh,Public Supply,701.0,5770000
Massachusetts,Surface,Fresh,Public Supply,489.0,6550000
Michigan,Surface,Fresh,Public Supply,883.0,9880000
Minnesota,Surface,Fresh,Public Supply,188.0,5300000
Mississippi,Surface,Fresh,Public Supply,46.3,2970000
Missouri,Surface,Fresh,Public Supply,543.0,5990000
Montana,Surface,Fresh,Public Supply,72.4,989000
Nebraska,Surface,Fresh,Public Supply,61.4,1830000
Nevada,Surface,Fresh,Public Supply,448.0,2700000
New Hampshire,Surface,Fresh,Public Supply,56.6,1320000
New Jersey,Surface,Fresh,Public Supply,682.0,8790000
New Mexico,Surface,Fresh,Public Supply,72.4,2060000
New York,Surface,Fresh,Public Supply,1810.0,19400000
North Carolina,Surface,Fresh,Public Supply,766.0,9540000
North Dakota,Surface,Fresh,Public Supply,38.3,673000
Ohio,Surface,Fresh,Public Supply,918.0,11500000
Oklahoma,Surface,Fresh,Public Supply,527.0,3750000
Oregon,Surface,Fresh,Public Supply,420.0,3830000
Pennsylvania,Surface,Fresh,Public Supply,1200.0,12700000
Rhode Island,Surface,Fresh,Public Supply,92.2,1050000
South Carolina,Surface,Fresh,Public Supply,504.0,4630000
South Dakota,Surface,Fresh,Public Supply,49.9,814000
Tennessee,Surface,Fresh,Public Supply,618.0,6350000
Texas,Surface,Fresh,Public Supply,2860.0,25100000
Utah,Surface,Fresh,Public Supply,309.0,2760000
Vermont,Surface,Fresh,Public Supply,29.2,626000
Virginia,Surface,Fresh,Public Supply,594.0,8000000
Washington,Surface,Fresh,Public Supply,439.0,6720000
West Virginia,Surface,Fresh,Public Supply,155.0,1850000
Wisconsin,Surface,Fresh,Public Supply,221.0,5690000
Wyoming,Surface,Fresh,Public Supply,47.5,564000
Puerto Rico,Surface,Fresh,Public Supply,590.0,3730000
U.S. Virgin Islands,Surface,Fresh,Public Supply,4.95,106000
Alabama,Surface,Saline,Public Supply,0.0,4780000
Alaska,Surface,Saline,Public Supply,0.0,710000
Arizona,Surface,Saline,Public Supply,0.0,6390000
Arkansas,Surface,Saline,Public Supply,0.0,2920000
California,Surface,Saline,Public Supply,0.0,37300000
Colorado,Surface,Saline,Public Supply,0.0,5030000
Connecticut,Surface,Saline,Public Supply,0.0,3570000
Delaware,Surface,Saline,Public Supply,0.0,898000
District Of Columbia,Surface,Saline,Public Supply,0.0,602000
Florida,Surface,Saline,Public Supply,0.0,18800000
Georgia,Surface,Saline,Public Supply,0.0,9690000
Hawaii,Surface,Saline,Public Supply,0.0,1360000
Idaho,Surface,Saline,Public Supply,0.0,1570000
Illinois,Surface,Saline,Public Supply,0.0,12800000
Indiana,Surface,Saline,Public Supply,0.0,6480000
Iowa,Surface,Saline,Public Supply,0.0,3050000
Kansas,Surface,Saline,Public Supply,0.0,2850000
Kentucky,Surface,Saline,Public Supply,0.0,4340000
Louisiana,Surface,Saline,Public Supply,0.0,4530000
Maine,Surface,Saline,Public Supply,0.0,1330000
Maryland,Surface,Saline,Public Supply,0.0,5770000
Massachusetts,Surface,Saline,Public Supply,0.0,6550000
Michigan,Surface,Saline,Public Supply,0.0,9880000
Minnesota,Surface,Saline,Public Supply,0.0,5300000
Mississippi,Surface,Saline,Public Supply,0.0,2970000
Missouri,Surface,Saline,Public Supply,0.0,5990000
Montana,Surface,Saline,Public Supply,0.0,989000
Nebraska,Surface,Saline,Public Supply,0.0,1830000
Nevada,Surface,Saline,Public Supply,0.0,2700000
New Hampshire,Surface,Saline,Public Supply,0.0,1320000
New Jersey,Surface,Saline,Public Supply,0.0,8790000
New Mexico,Surface,Saline,Public Supply,0.0,2060000
New York,Surface,Saline,Public Supply,0.0,19400000
North Carolina,Surface,Saline,Public Supply,0.0,9540000
North Dakota,Surface,Saline,Public Supply,0.0,673000
Ohio,Surface,Saline,Public Supply,0.0,11500000
Oklahoma,Surface,Saline,Public Supply,0.0,3750000
Oregon,Surface,Saline,Public Supply,0.0,3830000
Pennsylvania,Surface,Saline,Public Supply,0.0,12700000
Rhode Island,Surface,Saline,Public Supply,0.0,1050000
South Carolina,Surface,Saline,Public Supply,0.0,4630000
South Dakota,Surface,Saline,Public Supply,0.0,814000
Tennessee,Surface,Saline,Public Supply,0.0,6350000
Texas,Surface,Saline,Public Supply,0.0,25100000
Utah,Surface,Saline,Public Supply,0.0,2760000
Vermont,Surface,Saline,Public Supply,0.0,626000
Virginia,Surface,Saline,Public Supply,0.0,8000000
Washington,Surface,Saline,Public Supply,0.0,6720000
West Virginia,Surface,Saline,Public Supply,0.0,1850000
Wisconsin,Surface,Saline,Public Supply,0.0,5690000
Wyoming,Surface,Saline,Public Supply,0.0,564000
Puerto Rico,Surface,Saline,Public Supply,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Public Supply,0.0,106000
Alabama,Surface,Fresh,Self Supplied,0.0,4780000
Alaska,Surface,Fresh,Self Supplied,0.66,710000
Arizona,Surface,Fresh,Self Supplied,0.0,6390000
Arkansas,Surface,Fresh,Self Supplied,0.0,2920000
California,Surface,Fresh,Self Supplied,29.4,37300000
Colorado,Surface,Fresh,Self Supplied,0.0,5030000
Connecticut,Surface,Fresh,Self Supplied,0.0,3570000
Delaware,Surface,Fresh,Self Supplied,0.0,898000
District Of Columbia,Surface,Fresh,Self Supplied,0.0,602000
Florida,Surface,Fresh,Self Supplied,0.0,18800000
Georgia,Surface,Fresh,Self Supplied,0.0,9690000
Hawaii,Surface,Fresh,Self Supplied,6.17,1360000
Idaho,Surface,Fresh,Self Supplied,0.0,1570000
Illinois,Surface,Fresh,Self Supplied,0.0,12800000
Indiana,Surface,Fresh,Self Supplied,0.0,6480000
Iowa,Surface,Fresh,Self Supplied,0.0,3050000
Kansas,Surface,Fresh,Self Supplied,0.0,2850000
Kentucky,Surface,Fresh,Self Supplied,13.5,4340000
Louisiana,Surface,Fresh,Self Supplied,0.0,4530000
Maine,Surface,Fresh,Self Supplied,0.0,1330000
Maryland,Surface,Fresh,Self Supplied,0.0,5770000
Massachusetts,Surface,Fresh,Self Supplied,0.0,6550000
Michigan,Surface,Fresh,Self Supplied,0.0,9880000
Minnesota,Surface,Fresh,Self Supplied,0.0,5300000
Mississippi,Surface,Fresh,Self Supplied,0.0,2970000
Missouri,Surface,Fresh,Self Supplied,0.0,5990000
Montana,Surface,Fresh,Self Supplied,1.04,989000
Nebraska,Surface,Fresh,Self Supplied,0.0,1830000
Nevada,Surface,Fresh,Self Supplied,0.0,2700000
New Hampshire,Surface,Fresh,Self Supplied,0.0,1320000
New Jersey,Surface,Fresh,Self Supplied,0.0,8790000
New Mexico,Surface,Fresh,Self Supplied,0.0,2060000
New York,Surface,Fresh,Self Supplied,0.0,19400000
North Carolina,Surface,Fresh,Self Supplied,0.0,9540000
North Dakota,Surface,Fresh,Self Supplied,0.0,673000
Ohio,Surface,Fresh,Self Supplied,2.75,11500000
Oklahoma,Surface,Fresh,Self Supplied,0.0,3750000
Oregon,Surface,Fresh,Self Supplied,7.07,3830000
Pennsylvania,Surface,Fresh,Self Supplied,0.0,12700000
Rhode Island,Surface,Fresh,Self Supplied,0.0,1050000
South Carolina,Surface,Fresh,Self Supplied,0.0,4630000
South Dakota,Surface,Fresh,Self Supplied,0.0,814000
Tennessee,Surface,Fresh,Self Supplied,0.0,6350000
Texas,Surface,Fresh,Self Supplied,0.0,25100000
Utah,Surface,Fresh,Self Supplied,0.0,2760000
Vermont,Surface,Fresh,Self Supplied,0.0,626000
Virginia,Surface,Fresh,Self Supplied,0.0,8000000
Washington,Surface,Fresh,Self Supplied,0.02,6720000
West Virginia,Surface,Fresh,Self Supplied,0.63,1850000
Wisconsin,Surface,Fresh,Self Supplied,0.0,5690000
Wyoming,Surface,Fresh,Self Supplied,0.0,564000
Puerto Rico,Surface,Fresh,Self Supplied,0.0,3730000
U.S. Virgin Islands,Surface,Fresh,Self Supplied,2.67,106000
Alabama,Surface,Saline,Self Supplied,0.0,4780000
Alaska,Surface,Saline,Self Supplied,0.0,710000
Arizona,Surface,Saline,Self Supplied,0.0,6390000
Arkansas,Surface,Saline,Self Supplied,0.0,2920000
California,Surface,Saline,Self Supplied,0.0,37300000
Colorado,Surface,Saline,Self Supplied,0.0,5030000
Connecticut,Surface,Saline,Self Supplied,0.0,3570000
Delaware,Surface,Saline,Self Supplied,0.0,898000
District Of Columbia,Surface,Saline,Self Supplied,0.0,602000
Florida,Surface,Saline,Self Supplied,0.0,18800000
Georgia,Surface,Saline,Self Supplied,0.0,9690000
Hawaii,Surface,Saline,Self Supplied,0.0,1360000
Idaho,Surface,Saline,Self Supplied,0.0,1570000
Illinois,Surface,Saline,Self Supplied,0.0,12800000
Indiana,Surface,Saline,Self Supplied,0.0,6480000
Iowa,Surface,Saline,Self Supplied,0.0,3050000
Kansas,Surface,Saline,Self Supplied,0.0,2850000
Kentucky,Surface,Saline,Self Supplied,0.0,4340000
Louisiana,Surface,Saline,Self Supplied,0.0,4530000
Maine,Surface,Saline,Self Supplied,0.0,1330000
Maryland,Surface,Saline,Self Supplied,0.0,5770000
Massachusetts,Surface,Saline,Self Supplied,0.0,6550000
Michigan,Surface,Saline,Self Supplied,0.0,9880000
Minnesota,Surface,Saline,Self Supplied,0.0,5300000
Mississippi,Surface,Saline,Self Supplied,0.0,2970000
Missouri,Surface,Saline,Self Supplied,0.0,5990000
Montana,Surface,Saline,Self Supplied,0.0,989000
Nebraska,Surface,Saline,Self Supplied,0.0,1830000
Nevada,Surface,Saline,Self Supplied,0.0,2700000
New Hampshire,Surface,Saline,Self Supplied,0.0,1320000
New Jersey,Surface,Saline,Self Supplied,0.0,8790000
New Mexico,Surface,Saline,Self Supplied,0.0,2060000
New York,Surface,Saline,Self Supplied,0.0,19400000
North Carolina,Surface,Saline,Self Supplied,0.0,9540000
North Dakota,Surface,Saline,Self Supplied,0.0,673000
Ohio,Surface,Saline,Self Supplied,0.0,11500000
Oklahoma,Surface,Saline,Self Supplied,0.0,3750000
Oregon,Surface,Saline,Self Supplied,0.0,3830000
Pennsylvania,Surface,Saline,Self Supplied,0.0,12700000
Rhode Island,Surface,Saline,Self Supplied,0.0,1050000
South Carolina,Surface,Saline,Self Supplied,0.0,4630000
South Dakota,Surface,Saline,Self Supplied,0.0,814000
Tennessee,Surface,Saline,Self Supplied,0.0,6350000
Texas,Surface,Saline,Self Supplied,0.0,25100000
Utah,Surface,Saline,Self Supplied,0.0,2760000
Vermont,Surface,Saline,Self Supplied,0.0,626000
Virginia,Surface,Saline,Self Supplied,0.0,8000000
Washington,Surface,Saline,Self Supplied,0.0,6720000
West Virginia,Surface,Saline,Self Supplied,0.0,1850000
Wisconsin,Surface,Saline,Self Supplied,0.0,5690000
Wyoming,Surface,Saline,Self Supplied,0.0,564000
Puerto Rico,Surface,Saline,Self Supplied,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Self Supplied,0.0,106000
Alabama,Surface,Fresh,Irrigation,74.0,4780000
Alaska,Surface,Fresh,Irrigation,0.02,710000
Arizona,Surface,Fresh,Irrigation,2880.0,6390000
Arkansas,Surface,Fresh,Irrigation,1340.0,2920000
California,Surface,Fresh,Irrigation,14400.0,37300000
Colorado,Surface,Fresh,Irrigation,8420.0,5030000
Connecticut,Surface,Fresh,Irrigation,23.1,3570000
Delaware,Surface,Fresh,Irrigation,15.2,898000
District Of Columbia,Surface,Fresh,Irrigation,0.05,602000
Florida,Surface,Fresh,Irrigation,1340.0,18800000
Georgia,Surface,Fresh,Irrigation,202.0,9690000
Hawaii,Surface,Fresh,Irrigation,223.0,1360000
Idaho,Surface,Fresh,Irrigation,10200.0,1570000
Illinois,Surface,Fresh,Irrigation,17.5,12800000
Indiana,Surface,Fresh,Irrigation,38.7,6480000
Iowa,Surface,Fresh,Irrigation,1.18,3050000
Kansas,Surface,Fresh,Irrigation,160.0,2850000
Kentucky,Surface,Fresh,Irrigation,27.4,4340000
Louisiana,Surface,Fresh,Irrigation,258.0,4530000
Maine,Surface,Fresh,Irrigation,8.77,1330000
Maryland,Surface,Fresh,Irrigation,18.6,5770000
Massachusetts,Surface,Fresh,Irrigation,21.4,6550000
Michigan,Surface,Fresh,Irrigation,62.6,9880000
Minnesota,Surface,Fresh,Irrigation,26.7,5300000
Mississippi,Surface,Fresh,Irrigation,133.0,2970000
Missouri,Surface,Fresh,Irrigation,49.6,5990000
Montana,Surface,Fresh,Irrigation,7030.0,989000
Nebraska,Surface,Fresh,Irrigation,1360.0,1830000
Nevada,Surface,Fresh,Irrigation,921.0,2700000
New Hampshire,Surface,Fresh,Irrigation,0.67,1320000
New Jersey,Surface,Fresh,Irrigation,70.1,8790000
New Mexico,Surface,Fresh,Irrigation,1460.0,2060000
New York,Surface,Fresh,Irrigation,40.2,19400000
North Carolina,Surface,Fresh,Irrigation,279.0,9540000
North Dakota,Surface,Fresh,Irrigation,87.2,673000
Ohio,Surface,Fresh,Irrigation,35.4,11500000
Oklahoma,Surface,Fresh,Irrigation,135.0,3750000
Oregon,Surface,Fresh,Irrigation,3350.0,3830000
Pennsylvania,Surface,Fresh,Irrigation,19.8,12700000
Rhode Island,Surface,Fresh,Irrigation,0.39,1050000
South Carolina,Surface,Fresh,Irrigation,57.4,4630000
South Dakota,Surface,Fresh,Irrigation,165.0,814000
Tennessee,Surface,Fresh,Irrigation,27.6,6350000
Texas,Surface,Fresh,Irrigation,1730.0,25100000
Utah,Surface,Fresh,Irrigation,2730.0,2760000
Vermont,Surface,Fresh,Irrigation,1.68,626000
Virginia,Surface,Fresh,Irrigation,45.4,8000000
Washington,Surface,Fresh,Irrigation,2350.0,6720000
West Virginia,Surface,Fresh,Irrigation,0.04,1850000
Wisconsin,Surface,Fresh,Irrigation,123.0,5690000
Wyoming,Surface,Fresh,Irrigation,3930.0,564000
Puerto Rico,Surface,Fresh,Irrigation,15.7,3730000
U.S. Virgin Islands,Surface,Fresh,Irrigation,0.0,106000
Alabama,Surface,Saline,Irrigation,0.0,4780000
Alaska,Surface,Saline,Irrigation,0.0,710000
Arizona,Surface,Saline,Irrigation,0.0,6390000
Arkansas,Surface,Saline,Irrigation,0.0,2920000
California,Surface,Saline,Irrigation,0.0,37300000
Colorado,Surface,Saline,Irrigation,0.0,5030000
Connecticut,Surface,Saline,Irrigation,0.0,3570000
Delaware,Surface,Saline,Irrigation,0.0,898000
District Of Columbia,Surface,Saline,Irrigation,0.0,602000
Florida,Surface,Saline,Irrigation,0.0,18800000
Georgia,Surface,Saline,Irrigation,0.0,9690000
Hawaii,Surface,Saline,Irrigation,0.0,1360000
Idaho,Surface,Saline,Irrigation,0.0,1570000
Illinois,Surface,Saline,Irrigation,0.0,12800000
Indiana,Surface,Saline,Irrigation,0.0,6480000
Iowa,Surface,Saline,Irrigation,0.0,3050000
Kansas,Surface,Saline,Irrigation,0.0,2850000
Kentucky,Surface,Saline,Irrigation,0.0,4340000
Louisiana,Surface,Saline,Irrigation,0.0,4530000
Maine,Surface,Saline,Irrigation,0.0,1330000
Maryland,Surface,Saline,Irrigation,0.0,5770000
Massachusetts,Surface,Saline,Irrigation,0.0,6550000
Michigan,Surface,Saline,Irrigation,0.0,9880000
Minnesota,Surface,Saline,Irrigation,0.0,5300000
Mississippi,Surface,Saline,Irrigation,0.0,2970000
Missouri,Surface,Saline,Irrigation,0.0,5990000
Montana,Surface,Saline,Irrigation,0.0,989000
Nebraska,Surface,Saline,Irrigation,0.0,1830000
Nevada,Surface,Saline,Irrigation,0.0,2700000
New Hampshire,Surface,Saline,Irrigation,0.0,1320000
